{ 'src':'84.3.114.100', 'spt':'8784', 'dst':'68.8.8.74', 'dpt':'29392', 'app':'UDP', 'rs':'561', 'rl':'39', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
{ 'src':'40.37.169.226', 'spt':'42829', 'dst':'167.8.8.182', 'dpt':'5959', 'app':'UDP', 'rs':'288', 'rl':'131', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'53.243.248.54', 'spt':'44498', 'dst':'148.8.8.240', 'dpt':'26493', 'app':'TCP', 'rs':'887', 'rl':'90', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'186.93.201.23', 'spt':'15869', 'dst':'26.8.8.90', 'dpt':'20713', 'app':'UDP', 'rs':'578', 'rl':'100', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'191.71.154.246', 'spt':'58761', 'dst':'31.8.8.67', 'dpt':'51103', 'app':'UDP', 'rs':'331', 'rl':'114', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'180.102.111.109', 'spt':'15871', 'dst':'172.8.8.18', 'dpt':'16438', 'app':'UDP', 'rs':'174', 'rl':'163', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'50.234.66.216', 'spt':'30576', 'dst':'177.8.8.124', 'dpt':'58537', 'app':'UDP', 'rs':'880', 'rl':'172', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'31.36.152.219', 'spt':'10017', 'dst':'158.8.8.182', 'dpt':'51031', 'app':'TCP', 'rs':'1256', 'rl':'68', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'12.94.238.94', 'spt':'20453', 'dst':'115.8.8.191', 'dpt':'45687', 'app':'UDP', 'rs':'1517', 'rl':'79', 'ipv':'IPv4', 'atz':'India', 'dtz':'Japan' }
{ 'src':'121.152.69.224', 'spt':'57683', 'dst':'104.8.8.223', 'dpt':'43159', 'app':'UDP', 'rs':'353', 'rl':'138', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'245.28.24.76', 'spt':'38660', 'dst':'221.8.8.126', 'dpt':'5505', 'app':'UDP', 'rs':'894', 'rl':'121', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'115.160.106.55', 'spt':'20891', 'dst':'98.8.8.231', 'dpt':'17704', 'app':'TCP', 'rs':'1133', 'rl':'55', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'231.192.63.174', 'spt':'41743', 'dst':'199.8.8.188', 'dpt':'14801', 'app':'TCP', 'rs':'536', 'rl':'190', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'109.42.16.142', 'spt':'16513', 'dst':'204.8.8.166', 'dpt':'55544', 'app':'UDP', 'rs':'1481', 'rl':'65', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'210.126.104.28', 'spt':'60581', 'dst':'41.8.8.149', 'dpt':'52180', 'app':'UDP', 'rs':'376', 'rl':'79', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'71.157.61.147', 'spt':'25172', 'dst':'63.8.8.74', 'dpt':'58559', 'app':'TCP', 'rs':'1527', 'rl':'20', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'61.61.17.10', 'spt':'46504', 'dst':'52.8.8.232', 'dpt':'60148', 'app':'UDP', 'rs':'517', 'rl':'18', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'50.92.229.1', 'spt':'2430', 'dst':'25.8.8.189', 'dpt':'52474', 'app':'UDP', 'rs':'183', 'rl':'186', 'ipv':'IPv4', 'atz':'India', 'dtz':'Japan' }
{ 'src':'23.176.62.143', 'spt':'28468', 'dst':'126.8.8.146', 'dpt':'53367', 'app':'TCP', 'rs':'272', 'rl':'180', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'99.213.155.191', 'spt':'16037', 'dst':'226.8.8.230', 'dpt':'16321', 'app':'UDP', 'rs':'1221', 'rl':'69', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'104.191.108.159', 'spt':'16672', 'dst':'231.8.8.81', 'dpt':'56583', 'app':'UDP', 'rs':'598', 'rl':'113', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'117.142.187.116', 'spt':'38421', 'dst':'221.8.8.239', 'dpt':'25295', 'app':'TCP', 'rs':'831', 'rl':'59', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
{ 'src':'242.18.142.223', 'spt':'56767', 'dst':'90.8.8.116', 'dpt':'20228', 'app':'TCP', 'rs':'968', 'rl':'149', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'231.50.99.214', 'spt':'49104', 'dst':'71.8.8.174', 'dpt':'53363', 'app':'UDP', 'rs':'1476', 'rl':'107', 'ipv':'IPv4', 'atz':'India', 'dtz':'Japan' }
{ 'src':'77.134.59.100', 'spt':'28494', 'dst':'61.8.8.205', 'dpt':'41021', 'app':'UDP', 'rs':'116', 'rl':'105', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'193.165.16.219', 'spt':'23355', 'dst':'50.8.8.236', 'dpt':'51846', 'app':'UDP', 'rs':'479', 'rl':'159', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'150.48.107.128', 'spt':'7938', 'dst':'142.8.8.219', 'dpt':'47976', 'app':'UDP', 'rs':'1378', 'rl':'40', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
{ 'src':'140.206.64.246', 'spt':'1402', 'dst':'243.8.8.49', 'dpt':'47612', 'app':'UDP', 'rs':'1118', 'rl':'50', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'9.83.146.98', 'spt':'35441', 'dst':'248.8.8.154', 'dpt':'39365', 'app':'UDP', 'rs':'893', 'rl':'33', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'134.215.228.78', 'spt':'22260', 'dst':'117.8.8.31', 'dpt':'21085', 'app':'TCP', 'rs':'885', 'rl':'158', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'4.92.184.185', 'spt':'2947', 'dst':'98.8.8.88', 'dpt':'44073', 'app':'TCP', 'rs':'503', 'rl':'163', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'104.49.144.71', 'spt':'11552', 'dst':'96.8.8.220', 'dpt':'55310', 'app':'TCP', 'rs':'1165', 'rl':'16', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'109.26.97.39', 'spt':'59556', 'dst':'221.8.8.97', 'dpt':'18786', 'app':'UDP', 'rs':'1016', 'rl':'158', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
{ 'src':'99.57.54.158', 'spt':'59038', 'dst':'202.8.8.155', 'dpt':'44891', 'app':'TCP', 'rs':'1056', 'rl':'52', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'80.115.13.33', 'spt':'6289', 'dst':'71.8.8.32', 'dpt':'59415', 'app':'UDP', 'rs':'1424', 'rl':'15', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'180.72.228.174', 'spt':'24763', 'dst':'164.8.8.15', 'dpt':'713', 'app':'UDP', 'rs':'1486', 'rl':'69', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'58.49.181.142', 'spt':'23080', 'dst':'33.8.8.147', 'dpt':'13614', 'app':'UDP', 'rs':'1290', 'rl':'112', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'174.81.137.5', 'spt':'45489', 'dst':'134.8.8.104', 'dpt':'3252', 'app':'TCP', 'rs':'674', 'rl':'159', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'155.138.96.8', 'spt':'13791', 'dst':'4.8.8.236', 'dpt':'36567', 'app':'TCP', 'rs':'732', 'rl':'145', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
{ 'src':'121.122.186.33', 'spt':'12428', 'dst':'96.8.8.219', 'dpt':'14186', 'app':'TCP', 'rs':'325', 'rl':'28', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'126.227.139.1', 'spt':'61191', 'dst':'221.8.8.96', 'dpt':'39162', 'app':'TCP', 'rs':'1036', 'rl':'116', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'250.104.221.108', 'spt':'52657', 'dst':'99.8.8.202', 'dpt':'15846', 'app':'UDP', 'rs':'1330', 'rl':'145', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'96.188.181.123', 'spt':'59295', 'dst':'191.8.8.185', 'dpt':'48292', 'app':'UDP', 'rs':'1373', 'rl':'145', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'77.246.140.252', 'spt':'12340', 'dst':'69.8.8.163', 'dpt':'61071', 'app':'TCP', 'rs':'1166', 'rl':'154', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'178.203.100.139', 'spt':'42331', 'dst':'50.8.8.93', 'dpt':'25707', 'app':'TCP', 'rs':'447', 'rl':'31', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'191.154.179.223', 'spt':'61693', 'dst':'183.8.8.71', 'dpt':'46875', 'app':'TCP', 'rs':'124', 'rl':'178', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'172.212.10.225', 'spt':'34098', 'dst':'164.8.8.128', 'dpt':'43457', 'app':'TCP', 'rs':'1080', 'rl':'186', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'194.136.87.171', 'spt':'35784', 'dst':'153.8.8.160', 'dpt':'54872', 'app':'TCP', 'rs':'681', 'rl':'173', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'166.220.48.57', 'spt':'39301', 'dst':'14.8.8.63', 'dpt':'12963', 'app':'TCP', 'rs':'536', 'rl':'157', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'20.23.133.187', 'spt':'26362', 'dst':'250.8.8.120', 'dpt':'4544', 'app':'UDP', 'rs':'1201', 'rl':'93', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'145.155.216.39', 'spt':'41939', 'dst':'120.8.8.252', 'dpt':'34170', 'app':'UDP', 'rs':'1051', 'rl':'112', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'14.32.171.19', 'spt':'62390', 'dst':'221.8.8.209', 'dpt':'805', 'app':'UDP', 'rs':'1422', 'rl':'189', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'139.163.253.125', 'spt':'18093', 'dst':'131.8.8.208', 'dpt':'34398', 'app':'UDP', 'rs':'1121', 'rl':'84', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'152.115.77.82', 'spt':'44455', 'dst':'24.8.8.5', 'dpt':'36045', 'app':'TCP', 'rs':'963', 'rl':'159', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
{ 'src':'142.146.34.201', 'spt':'48836', 'dst':'125.8.8.217', 'dpt':'18870', 'app':'UDP', 'rs':'563', 'rl':'106', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'114.103.122.87', 'spt':'5230', 'dst':'226.8.8.46', 'dpt':'17596', 'app':'UDP', 'rs':'227', 'rl':'21', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
{ 'src':'104.6.79.78', 'spt':'39053', 'dst':'199.8.8.3', 'dpt':'10494', 'app':'TCP', 'rs':'955', 'rl':'130', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'85.64.165.208', 'spt':'1834', 'dst':'188.8.8.161', 'dpt':'18304', 'app':'TCP', 'rs':'723', 'rl':'16', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'209.196.247.60', 'spt':'30040', 'dst':'57.8.8.38', 'dpt':'65085', 'app':'UDP', 'rs':'550', 'rl':'135', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'199.227.76.178', 'spt':'55271', 'dst':'190.8.8.144', 'dpt':'63264', 'app':'TCP', 'rs':'1449', 'rl':'71', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'180.29.162.181', 'spt':'48939', 'dst':'163.8.8.101', 'dpt':'6819', 'app':'TCP', 'rs':'589', 'rl':'184', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'169.61.119.44', 'spt':'35326', 'dst':'9.8.8.185', 'dpt':'36865', 'app':'UDP', 'rs':'980', 'rl':'140', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'158.219.76.163', 'spt':'21918', 'dst':'133.8.8.61', 'dpt':'11978', 'app':'TCP', 'rs':'1531', 'rl':'116', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
{ 'src':'139.22.34.38', 'spt':'61594', 'dst':'3.8.8.193', 'dpt':'857', 'app':'UDP', 'rs':'103', 'rl':'159', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'120.79.120.40', 'spt':'20480', 'dst':'112.8.8.251', 'dpt':'25102', 'app':'UDP', 'rs':'1260', 'rl':'167', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'22.105.196.229', 'spt':'36648', 'dst':'6.8.8.176', 'dpt':'7010', 'app':'TCP', 'rs':'403', 'rl':'99', 'ipv':'IPv4', 'atz':'India', 'dtz':'Japan' }
{ 'src':'11.136.152.93', 'spt':'58143', 'dst':'138.8.8.153', 'dpt':'12971', 'app':'UDP', 'rs':'252', 'rl':'153', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'128.39.237.211', 'spt':'40642', 'dst':'231.8.8.10', 'dpt':'52019', 'app':'TCP', 'rs':'1352', 'rl':'25', 'ipv':'IPv4', 'atz':'India', 'dtz':'Japan' }
{ 'src':'228.251.197.97', 'spt':'18101', 'dst':'77.8.8.94', 'dpt':'33422', 'app':'TCP', 'rs':'801', 'rl':'132', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'98.128.24.77', 'spt':'59598', 'dst':'193.8.8.125', 'dpt':'30562', 'app':'TCP', 'rs':'450', 'rl':'166', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'87.159.236.195', 'spt':'15495', 'dst':'174.8.8.182', 'dpt':'63729', 'app':'TCP', 'rs':'1539', 'rl':'109', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'36.68.202.116', 'spt':'39299', 'dst':'28.8.8.240', 'dpt':'49563', 'app':'TCP', 'rs':'149', 'rl':'64', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'185.120.151.62', 'spt':'3826', 'dst':'185.8.8.10', 'dpt':'9244', 'app':'TCP', 'rs':'186', 'rl':'85', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'174.151.108.180', 'spt':'55403', 'dst':'157.8.8.94', 'dpt':'3029', 'app':'TCP', 'rs':'1400', 'rl':'1', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'187.102.187.137', 'spt':'33894', 'dst':'35.8.8.200', 'dpt':'11060', 'app':'TCP', 'rs':'764', 'rl':'18', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'57.234.14.244', 'spt':'28311', 'dst':'25.8.8.231', 'dpt':'63520', 'app':'UDP', 'rs':'907', 'rl':'24', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
