{ 'src':'43.2.9.2', 'spt':'1031', 'dst':'8.1.10.7', 'dpt':'711', 'app':'TCP', 'rs':'943', 'rl':'28', 'ipv':'IPv4', 'atz':'India', 'dtz':'India' }
{ 'src':'43.2.9.2', 'spt':'1032', 'dst':'8.1.10.7', 'dpt':'80', 'app':'TCP', 'rs':'563', 'rl':'77', 'ipv':'IPv6', 'atz':'London', 'dtz':'India' }
{ 'src':'43.2.9.2', 'spt':'1027', 'dst':'8.1.10.7', 'dpt':'593', 'app':'UDP', 'rs':'162', 'rl':'138', 'ipv':'IPv6', 'atz':'India', 'dtz':'Denmark' }
{ 'src':'43.1.9.2', 'spt':'1028', 'dst':'8.1.10.7', 'dpt':'428', 'app':'TCP', 'rs':'1239', 'rl':'64', 'ipv':'IPv4', 'atz':'Bahrain', 'dtz':'Argentina' }
{ 'src':'43.1.9.2', 'spt':'1028', 'dst':'8.1.10.7', 'dpt':'154', 'app':'UDP', 'rs':'792', 'rl':'194', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'London' }
{ 'src':'43.2.9.2', 'spt':'1032', 'dst':'8.2.10.7', 'dpt':'666', 'app':'TCP', 'rs':'1059', 'rl':'93', 'ipv':'IPv6', 'atz':'India', 'dtz':'Denmark' }
{ 'src':'43.2.9.2', 'spt':'1031', 'dst':'8.2.10.7', 'dpt':'8', 'app':'UDP', 'rs':'397', 'rl':'91', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'Egypt' }
{ 'src':'43.1.9.3', 'spt':'1031', 'dst':'8.1.10.7', 'dpt':'256', 'app':'UDP', 'rs':'886', 'rl':'84', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'Egypt' }
{ 'src':'43.2.9.2', 'spt':'1032', 'dst':'8.2.10.7', 'dpt':'24', 'app':'UDP', 'rs':'1040', 'rl':'127', 'ipv':'IPv6', 'atz':'India', 'dtz':'USA' }
{ 'src':'43.1.9.3', 'spt':'1034', 'dst':'8.2.10.7', 'dpt':'995', 'app':'TCP', 'rs':'580', 'rl':'191', 'ipv':'IPv6', 'atz':'London', 'dtz':'Denmark' }
{ 'src':'43.2.9.3', 'spt':'1032', 'dst':'8.2.10.7', 'dpt':'156', 'app':'TCP', 'rs':'1240', 'rl':'139', 'ipv':'IPv4', 'atz':'USA', 'dtz':'India' }
{ 'src':'43.2.9.2', 'spt':'1032', 'dst':'8.2.10.7', 'dpt':'1012', 'app':'UDP', 'rs':'458', 'rl':'162', 'ipv':'IPv6', 'atz':'Bahrain', 'dtz':'Argentina' }
{ 'src':'43.2.9.2', 'spt':'1024', 'dst':'8.2.10.7', 'dpt':'98', 'app':'TCP', 'rs':'491', 'rl':'122', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'London' }
{ 'src':'43.2.9.3', 'spt':'1027', 'dst':'8.1.10.7', 'dpt':'304', 'app':'TCP', 'rs':'1465', 'rl':'68', 'ipv':'IPv6', 'atz':'India', 'dtz':'India' }
{ 'src':'43.2.9.2', 'spt':'1026', 'dst':'8.2.10.7', 'dpt':'92', 'app':'TCP', 'rs':'963', 'rl':'159', 'ipv':'IPv4', 'atz':'Bahrain', 'dtz':'Egypt' }
{ 'src':'43.2.9.2', 'spt':'1025', 'dst':'8.1.10.7', 'dpt':'279', 'app':'UDP', 'rs':'490', 'rl':'29', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'43.2.9.2', 'spt':'1026', 'dst':'8.2.10.7', 'dpt':'16', 'app':'UDP', 'rs':'786', 'rl':'4', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'London' }
{ 'src':'43.1.9.3', 'spt':'1027', 'dst':'8.1.10.7', 'dpt':'145', 'app':'UDP', 'rs':'1406', 'rl':'68', 'ipv':'IPv6', 'atz':'London', 'dtz':'London' }
{ 'src':'43.2.9.3', 'spt':'1029', 'dst':'8.1.10.7', 'dpt':'450', 'app':'UDP', 'rs':'365', 'rl':'110', 'ipv':'IPv6', 'atz':'Argentina', 'dtz':'Denmark' }
{ 'src':'43.1.9.3', 'spt':'1024', 'dst':'8.2.10.7', 'dpt':'438', 'app':'TCP', 'rs':'1525', 'rl':'77', 'ipv':'IPv6', 'atz':'Bahrain', 'dtz':'Denmark' }
{ 'src':'43.2.9.2', 'spt':'1029', 'dst':'8.2.10.7', 'dpt':'905', 'app':'UDP', 'rs':'261', 'rl':'153', 'ipv':'IPv6', 'atz':'Argentina', 'dtz':'Egypt' }
{ 'src':'43.2.9.2', 'spt':'1026', 'dst':'8.1.10.7', 'dpt':'993', 'app':'UDP', 'rs':'301', 'rl':'146', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'London' }
{ 'src':'43.1.9.3', 'spt':'1035', 'dst':'8.2.10.7', 'dpt':'742', 'app':'TCP', 'rs':'215', 'rl':'82', 'ipv':'IPv6', 'atz':'USA', 'dtz':'London' }
{ 'src':'43.1.9.2', 'spt':'1036', 'dst':'8.2.10.7', 'dpt':'639', 'app':'TCP', 'rs':'176', 'rl':'198', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'Denmark' }
{ 'src':'43.1.9.2', 'spt':'1029', 'dst':'8.2.10.7', 'dpt':'846', 'app':'TCP', 'rs':'1441', 'rl':'16', 'ipv':'IPv6', 'atz':'USA', 'dtz':'Egypt' }
{ 'src':'43.2.9.2', 'spt':'1033', 'dst':'8.2.10.7', 'dpt':'611', 'app':'UDP', 'rs':'796', 'rl':'4', 'ipv':'IPv6', 'atz':'London', 'dtz':'London' }
{ 'src':'43.1.9.3', 'spt':'1033', 'dst':'8.2.10.7', 'dpt':'1006', 'app':'TCP', 'rs':'413', 'rl':'20', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Denmark' }
{ 'src':'43.1.9.3', 'spt':'1034', 'dst':'8.2.10.7', 'dpt':'573', 'app':'TCP', 'rs':'415', 'rl':'149', 'ipv':'IPv6', 'atz':'Bahrain', 'dtz':'Denmark' }
{ 'src':'43.1.9.2', 'spt':'1031', 'dst':'8.2.10.7', 'dpt':'867', 'app':'UDP', 'rs':'303', 'rl':'30', 'ipv':'IPv6', 'atz':'Bahrain', 'dtz':'Egypt' }
{ 'src':'43.1.9.2', 'spt':'1028', 'dst':'8.2.10.7', 'dpt':'625', 'app':'UDP', 'rs':'1424', 'rl':'99', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'43.2.9.2', 'spt':'1034', 'dst':'8.1.10.7', 'dpt':'878', 'app':'UDP', 'rs':'1172', 'rl':'74', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Denmark' }
{ 'src':'43.2.9.2', 'spt':'1028', 'dst':'8.2.10.7', 'dpt':'222', 'app':'TCP', 'rs':'1351', 'rl':'54', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'43.2.9.2', 'spt':'1030', 'dst':'8.1.10.7', 'dpt':'810', 'app':'TCP', 'rs':'584', 'rl':'80', 'ipv':'IPv4', 'atz':'Chile', 'dtz':'India' }
{ 'src':'43.1.9.3', 'spt':'1035', 'dst':'8.2.10.7', 'dpt':'1019', 'app':'TCP', 'rs':'473', 'rl':'12', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'Argentina' }
{ 'src':'43.1.9.2', 'spt':'1036', 'dst':'8.1.10.7', 'dpt':'312', 'app':'UDP', 'rs':'889', 'rl':'19', 'ipv':'IPv6', 'atz':'USA', 'dtz':'London' }
{ 'src':'43.1.9.2', 'spt':'1035', 'dst':'8.1.10.7', 'dpt':'881', 'app':'TCP', 'rs':'839', 'rl':'64', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Denmark' }
{ 'src':'43.2.9.2', 'spt':'1026', 'dst':'8.2.10.7', 'dpt':'305', 'app':'UDP', 'rs':'466', 'rl':'3', 'ipv':'IPv4', 'atz':'London', 'dtz':'USA' }
{ 'src':'43.2.9.3', 'spt':'1035', 'dst':'8.2.10.7', 'dpt':'915', 'app':'UDP', 'rs':'1440', 'rl':'73', 'ipv':'IPv6', 'atz':'USA', 'dtz':'London' }
{ 'src':'43.2.9.2', 'spt':'1027', 'dst':'8.2.10.7', 'dpt':'332', 'app':'TCP', 'rs':'378', 'rl':'108', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Denmark' }
{ 'src':'43.1.9.3', 'spt':'1024', 'dst':'8.1.10.7', 'dpt':'681', 'app':'UDP', 'rs':'501', 'rl':'143', 'ipv':'IPv6', 'atz':'London', 'dtz':'India' }
{ 'src':'43.2.9.2', 'spt':'1029', 'dst':'8.1.10.7', 'dpt':'948', 'app':'TCP', 'rs':'1412', 'rl':'187', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'43.2.9.3', 'spt':'1026', 'dst':'8.1.10.7', 'dpt':'1001', 'app':'TCP', 'rs':'405', 'rl':'110', 'ipv':'IPv6', 'atz':'India', 'dtz':'India' }
{ 'src':'43.2.9.3', 'spt':'1034', 'dst':'8.1.10.7', 'dpt':'777', 'app':'UDP', 'rs':'1187', 'rl':'166', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'43.1.9.3', 'spt':'1030', 'dst':'8.2.10.7', 'dpt':'463', 'app':'TCP', 'rs':'1283', 'rl':'146', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Egypt' }
{ 'src':'43.1.9.2', 'spt':'1024', 'dst':'8.2.10.7', 'dpt':'187', 'app':'UDP', 'rs':'916', 'rl':'125', 'ipv':'IPv4', 'atz':'London', 'dtz':'Argentina' }
{ 'src':'43.1.9.2', 'spt':'1030', 'dst':'8.1.10.7', 'dpt':'495', 'app':'TCP', 'rs':'1548', 'rl':'40', 'ipv':'IPv6', 'atz':'London', 'dtz':'India' }
{ 'src':'43.2.9.3', 'spt':'1030', 'dst':'8.2.10.7', 'dpt':'175', 'app':'TCP', 'rs':'177', 'rl':'130', 'ipv':'IPv4', 'atz':'Chile', 'dtz':'Denmark' }
{ 'src':'43.2.9.2', 'spt':'1036', 'dst':'8.1.10.7', 'dpt':'434', 'app':'TCP', 'rs':'1274', 'rl':'159', 'ipv':'IPv4', 'atz':'Chile', 'dtz':'India' }
{ 'src':'43.1.9.2', 'spt':'1029', 'dst':'8.2.10.7', 'dpt':'686', 'app':'UDP', 'rs':'1280', 'rl':'130', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Argentina' }
{ 'src':'43.2.9.3', 'spt':'1027', 'dst':'8.1.10.7', 'dpt':'588', 'app':'UDP', 'rs':'1101', 'rl':'16', 'ipv':'IPv4', 'atz':'London', 'dtz':'London' }
{ 'src':'43.1.9.3', 'spt':'1033', 'dst':'8.2.10.7', 'dpt':'168', 'app':'UDP', 'rs':'1470', 'rl':'56', 'ipv':'IPv6', 'atz':'Bahrain', 'dtz':'USA' }
{ 'src':'43.2.9.2', 'spt':'1034', 'dst':'8.1.10.7', 'dpt':'802', 'app':'TCP', 'rs':'189', 'rl':'43', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Argentina' }
{ 'src':'43.2.9.2', 'spt':'1036', 'dst':'8.1.10.7', 'dpt':'857', 'app':'UDP', 'rs':'332', 'rl':'98', 'ipv':'IPv4', 'atz':'India', 'dtz':'Egypt' }
{ 'src':'43.1.9.2', 'spt':'1034', 'dst':'8.1.10.7', 'dpt':'629', 'app':'UDP', 'rs':'785', 'rl':'166', 'ipv':'IPv4', 'atz':'Bahrain', 'dtz':'London' }
{ 'src':'43.1.9.2', 'spt':'1024', 'dst':'8.1.10.7', 'dpt':'46', 'app':'UDP', 'rs':'393', 'rl':'50', 'ipv':'IPv6', 'atz':'Bahrain', 'dtz':'India' }
{ 'src':'43.2.9.3', 'spt':'1029', 'dst':'8.2.10.7', 'dpt':'373', 'app':'UDP', 'rs':'166', 'rl':'64', 'ipv':'IPv6', 'atz':'USA', 'dtz':'Argentina' }
{ 'src':'43.1.9.2', 'spt':'1031', 'dst':'8.2.10.7', 'dpt':'452', 'app':'TCP', 'rs':'398', 'rl':'83', 'ipv':'IPv4', 'atz':'Bahrain', 'dtz':'USA' }
{ 'src':'43.2.9.2', 'spt':'1035', 'dst':'8.2.10.7', 'dpt':'302', 'app':'UDP', 'rs':'912', 'rl':'187', 'ipv':'IPv6', 'atz':'Bahrain', 'dtz':'London' }
{ 'src':'43.1.9.3', 'spt':'1027', 'dst':'8.2.10.7', 'dpt':'880', 'app':'TCP', 'rs':'677', 'rl':'93', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Argentina' }
{ 'src':'43.1.9.2', 'spt':'1030', 'dst':'8.1.10.7', 'dpt':'659', 'app':'TCP', 'rs':'180', 'rl':'57', 'ipv':'IPv4', 'atz':'London', 'dtz':'London' }
{ 'src':'43.2.9.2', 'spt':'1031', 'dst':'8.2.10.7', 'dpt':'596', 'app':'TCP', 'rs':'660', 'rl':'149', 'ipv':'IPv4', 'atz':'London', 'dtz':'London' }
{ 'src':'43.1.9.2', 'spt':'1029', 'dst':'8.2.10.7', 'dpt':'109', 'app':'TCP', 'rs':'1352', 'rl':'56', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'Denmark' }
{ 'src':'43.1.9.3', 'spt':'1029', 'dst':'8.1.10.7', 'dpt':'953', 'app':'TCP', 'rs':'345', 'rl':'165', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'Argentina' }
{ 'src':'43.2.9.2', 'spt':'1035', 'dst':'8.1.10.7', 'dpt':'216', 'app':'TCP', 'rs':'1193', 'rl':'179', 'ipv':'IPv6', 'atz':'India', 'dtz':'Argentina' }
{ 'src':'43.1.9.2', 'spt':'1033', 'dst':'8.2.10.7', 'dpt':'299', 'app':'UDP', 'rs':'773', 'rl':'77', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'43.1.9.3', 'spt':'1031', 'dst':'8.2.10.7', 'dpt':'58', 'app':'TCP', 'rs':'1342', 'rl':'19', 'ipv':'IPv4', 'atz':'Chile', 'dtz':'Denmark' }
{ 'src':'43.2.9.3', 'spt':'1031', 'dst':'8.2.10.7', 'dpt':'837', 'app':'TCP', 'rs':'901', 'rl':'157', 'ipv':'IPv6', 'atz':'London', 'dtz':'Egypt' }
{ 'src':'43.1.9.2', 'spt':'1036', 'dst':'8.2.10.7', 'dpt':'91', 'app':'UDP', 'rs':'330', 'rl':'133', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'Denmark' }
{ 'src':'43.1.9.3', 'spt':'1032', 'dst':'8.1.10.7', 'dpt':'560', 'app':'TCP', 'rs':'1142', 'rl':'122', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'India' }
{ 'src':'43.1.9.2', 'spt':'1024', 'dst':'8.1.10.7', 'dpt':'639', 'app':'UDP', 'rs':'1040', 'rl':'81', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Denmark' }
{ 'src':'43.2.9.3', 'spt':'1031', 'dst':'8.2.10.7', 'dpt':'753', 'app':'TCP', 'rs':'1476', 'rl':'28', 'ipv':'IPv6', 'atz':'Argentina', 'dtz':'Egypt' }
{ 'src':'43.2.9.2', 'spt':'1025', 'dst':'8.1.10.7', 'dpt':'175', 'app':'UDP', 'rs':'744', 'rl':'198', 'ipv':'IPv4', 'atz':'London', 'dtz':'USA' }
{ 'src':'43.2.9.3', 'spt':'1030', 'dst':'8.2.10.7', 'dpt':'53', 'app':'TCP', 'rs':'1562', 'rl':'148', 'ipv':'IPv6', 'atz':'Bahrain', 'dtz':'India' }
{ 'src':'43.2.9.2', 'spt':'1030', 'dst':'8.1.10.7', 'dpt':'171', 'app':'TCP', 'rs':'927', 'rl':'70', 'ipv':'IPv4', 'atz':'Bahrain', 'dtz':'India' }
{ 'src':'43.1.9.3', 'spt':'1033', 'dst':'8.1.10.7', 'dpt':'96', 'app':'UDP', 'rs':'1312', 'rl':'129', 'ipv':'IPv6', 'atz':'India', 'dtz':'USA' }
{ 'src':'43.2.9.3', 'spt':'1029', 'dst':'8.1.10.7', 'dpt':'164', 'app':'TCP', 'rs':'881', 'rl':'114', 'ipv':'IPv4', 'atz':'India', 'dtz':'Denmark' }
{ 'src':'43.1.9.3', 'spt':'1035', 'dst':'8.1.10.7', 'dpt':'924', 'app':'UDP', 'rs':'375', 'rl':'139', 'ipv':'IPv6', 'atz':'London', 'dtz':'India' }
{ 'src':'43.1.9.3', 'spt':'1028', 'dst':'8.1.10.7', 'dpt':'554', 'app':'UDP', 'rs':'1218', 'rl':'32', 'ipv':'IPv4', 'atz':'London', 'dtz':'Egypt' }
{ 'src':'43.1.9.2', 'spt':'1024', 'dst':'8.1.10.7', 'dpt':'371', 'app':'TCP', 'rs':'374', 'rl':'44', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'USA' }
{ 'src':'43.2.9.2', 'spt':'1025', 'dst':'8.1.10.7', 'dpt':'888', 'app':'UDP', 'rs':'156', 'rl':'56', 'ipv':'IPv6', 'atz':'Bahrain', 'dtz':'London' }
{ 'src':'43.2.9.3', 'spt':'1036', 'dst':'8.2.10.7', 'dpt':'208', 'app':'TCP', 'rs':'1546', 'rl':'1', 'ipv':'IPv4', 'atz':'Chile', 'dtz':'India' }
{ 'src':'43.2.9.2', 'spt':'1034', 'dst':'8.2.10.7', 'dpt':'561', 'app':'TCP', 'rs':'1537', 'rl':'35', 'ipv':'IPv4', 'atz':'India', 'dtz':'Argentina' }
{ 'src':'43.1.9.3', 'spt':'1028', 'dst':'8.2.10.7', 'dpt':'466', 'app':'TCP', 'rs':'304', 'rl':'74', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'43.1.9.3', 'spt':'1035', 'dst':'8.1.10.7', 'dpt':'484', 'app':'TCP', 'rs':'856', 'rl':'73', 'ipv':'IPv4', 'atz':'Bahrain', 'dtz':'Egypt' }
{ 'src':'43.1.9.2', 'spt':'1033', 'dst':'8.1.10.7', 'dpt':'749', 'app':'TCP', 'rs':'1027', 'rl':'193', 'ipv':'IPv4', 'atz':'London', 'dtz':'India' }
{ 'src':'43.2.9.2', 'spt':'1033', 'dst':'8.1.10.7', 'dpt':'152', 'app':'TCP', 'rs':'709', 'rl':'134', 'ipv':'IPv4', 'atz':'London', 'dtz':'Egypt' }
{ 'src':'43.1.9.2', 'spt':'1026', 'dst':'8.1.10.7', 'dpt':'133', 'app':'TCP', 'rs':'1293', 'rl':'48', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'India' }
{ 'src':'43.1.9.3', 'spt':'1030', 'dst':'8.2.10.7', 'dpt':'748', 'app':'UDP', 'rs':'113', 'rl':'82', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'Denmark' }
{ 'src':'43.1.9.3', 'spt':'1031', 'dst':'8.2.10.7', 'dpt':'43', 'app':'TCP', 'rs':'1268', 'rl':'121', 'ipv':'IPv6', 'atz':'India', 'dtz':'London' }
{ 'src':'43.2.9.3', 'spt':'1026', 'dst':'8.2.10.7', 'dpt':'97', 'app':'TCP', 'rs':'863', 'rl':'61', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'43.1.9.3', 'spt':'1035', 'dst':'8.1.10.7', 'dpt':'720', 'app':'TCP', 'rs':'656', 'rl':'193', 'ipv':'IPv4', 'atz':'London', 'dtz':'India' }
{ 'src':'43.1.9.3', 'spt':'1036', 'dst':'8.1.10.7', 'dpt':'109', 'app':'TCP', 'rs':'1298', 'rl':'63', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Egypt' }
{ 'src':'43.2.9.3', 'spt':'1024', 'dst':'8.2.10.7', 'dpt':'454', 'app':'UDP', 'rs':'389', 'rl':'52', 'ipv':'IPv4', 'atz':'Bahrain', 'dtz':'London' }
{ 'src':'43.1.9.2', 'spt':'1024', 'dst':'8.1.10.7', 'dpt':'803', 'app':'UDP', 'rs':'903', 'rl':'98', 'ipv':'IPv6', 'atz':'India', 'dtz':'USA' }
{ 'src':'43.2.9.3', 'spt':'1027', 'dst':'8.2.10.7', 'dpt':'260', 'app':'UDP', 'rs':'931', 'rl':'72', 'ipv':'IPv6', 'atz':'Argentina', 'dtz':'Denmark' }
{ 'src':'43.1.9.2', 'spt':'1033', 'dst':'8.2.10.7', 'dpt':'446', 'app':'TCP', 'rs':'1094', 'rl':'132', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'London' }
{ 'src':'43.1.9.2', 'spt':'1034', 'dst':'8.1.10.7', 'dpt':'1024', 'app':'UDP', 'rs':'574', 'rl':'131', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'Egypt' }
{ 'src':'43.1.9.3', 'spt':'1032', 'dst':'8.1.10.7', 'dpt':'545', 'app':'TCP', 'rs':'810', 'rl':'157', 'ipv':'IPv4', 'atz':'Chile', 'dtz':'Argentina' }
{ 'src':'43.1.9.2', 'spt':'1027', 'dst':'8.1.10.7', 'dpt':'813', 'app':'UDP', 'rs':'827', 'rl':'22', 'ipv':'IPv6', 'atz':'Argentina', 'dtz':'Egypt' }
{ 'src':'43.2.9.3', 'spt':'1025', 'dst':'8.1.10.7', 'dpt':'626', 'app':'TCP', 'rs':'927', 'rl':'82', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Denmark' }
{ 'src':'43.2.9.3', 'spt':'1029', 'dst':'8.2.10.7', 'dpt':'518', 'app':'UDP', 'rs':'1061', 'rl':'46', 'ipv':'IPv6', 'atz':'Argentina', 'dtz':'India' }
{ 'src':'43.1.9.3', 'spt':'1029', 'dst':'8.2.10.7', 'dpt':'647', 'app':'TCP', 'rs':'417', 'rl':'24', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Egypt' }
{ 'src':'43.2.9.3', 'spt':'1035', 'dst':'8.1.10.7', 'dpt':'526', 'app':'UDP', 'rs':'742', 'rl':'6', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'Argentina' }
{ 'src':'43.1.9.3', 'spt':'1026', 'dst':'8.1.10.7', 'dpt':'952', 'app':'TCP', 'rs':'1210', 'rl':'82', 'ipv':'IPv6', 'atz':'London', 'dtz':'Denmark' }
{ 'src':'43.1.9.3', 'spt':'1026', 'dst':'8.1.10.7', 'dpt':'740', 'app':'TCP', 'rs':'456', 'rl':'133', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Argentina' }
{ 'src':'43.1.9.3', 'spt':'1035', 'dst':'8.2.10.7', 'dpt':'991', 'app':'UDP', 'rs':'522', 'rl':'30', 'ipv':'IPv6', 'atz':'USA', 'dtz':'London' }
{ 'src':'43.2.9.3', 'spt':'1025', 'dst':'8.2.10.7', 'dpt':'884', 'app':'UDP', 'rs':'1234', 'rl':'94', 'ipv':'IPv6', 'atz':'USA', 'dtz':'Egypt' }
{ 'src':'43.1.9.3', 'spt':'1029', 'dst':'8.2.10.7', 'dpt':'979', 'app':'TCP', 'rs':'389', 'rl':'54', 'ipv':'IPv4', 'atz':'Chile', 'dtz':'Egypt' }
{ 'src':'43.1.9.3', 'spt':'1031', 'dst':'8.2.10.7', 'dpt':'896', 'app':'TCP', 'rs':'146', 'rl':'196', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'London' }
{ 'src':'43.1.9.3', 'spt':'1025', 'dst':'8.1.10.7', 'dpt':'411', 'app':'TCP', 'rs':'1556', 'rl':'22', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Denmark' }
{ 'src':'43.1.9.2', 'spt':'1024', 'dst':'8.1.10.7', 'dpt':'919', 'app':'UDP', 'rs':'111', 'rl':'18', 'ipv':'IPv6', 'atz':'USA', 'dtz':'Argentina' }
{ 'src':'43.2.9.2', 'spt':'1029', 'dst':'8.2.10.7', 'dpt':'884', 'app':'TCP', 'rs':'1248', 'rl':'119', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'London' }
{ 'src':'43.1.9.2', 'spt':'1027', 'dst':'8.2.10.7', 'dpt':'787', 'app':'TCP', 'rs':'958', 'rl':'95', 'ipv':'IPv6', 'atz':'USA', 'dtz':'India' }
{ 'src':'43.1.9.3', 'spt':'1033', 'dst':'8.1.10.7', 'dpt':'567', 'app':'TCP', 'rs':'1336', 'rl':'131', 'ipv':'IPv4', 'atz':'India', 'dtz':'Argentina' }
